comment_score,percent_positive,percent_negative
18072,1.0,1.0
15646,0.0,1.0
15309,0.0,1.0
14661,0.0,1.0
14253,0.0,1.0
14008,0.0,1.0
13866,1.0,1.0
13265,0.0,1.0
13121,1.0,1.0
12746,1.0,0.0
12255,0.0,1.0
12009,1.0,1.0
11724,0.0,1.0
11558,1.0,1.0
11430,1.0,1.0
11423,0.0,1.0
11220,0.0,1.0
10871,1.0,1.0
10505,0.0,1.0
10408,0.0,0.0
10334,0.0,1.0
10323,0.0,1.0
10291,0.0,1.0
10231,0.0,1.0
10209,0.0,1.0
10144,0.0,1.0
10085,0.0,1.0
10036,0.0,1.0
9922,0.0,1.0
9860,0.0,1.0
9767,0.0,1.0
9717,0.0,1.0
9587,0.0,1.0
9491,0.0,1.0
9459,0.0,1.0
9428,0.0,1.0
9049,1.0,1.0
9041,1.0,1.0
9009,1.0,1.0
8947,0.0,1.0
8792,1.0,1.0
8740,0.0,1.0
8668,0.0,1.0
8289,0.0,1.0
8272,1.0,1.0
8203,0.0,1.0
8168,0.0,1.0
8100,0.5,0.5
8047,0.0,1.0
8033,0.0,1.0
8024,0.0,1.0
7945,0.5,1.0
7886,0.0,1.0
7826,1.0,1.0
7794,0.0,1.0
7711,0.0,1.0
7706,0.0,1.0
7678,0.0,1.0
7654,1.0,1.0
7649,0.0,1.0
7595,0.0,1.0
7524,0.0,0.0
7498,0.0,1.0
7361,0.0,1.0
7331,0.0,1.0
7262,0.0,1.0
7198,1.0,1.0
7136,0.0,1.0
7070,0.0,1.0
7007,0.0,1.0
6984,0.0,1.0
6964,1.0,1.0
6942,0.0,1.0
6926,0.0,1.0
6854,0.0,1.0
6800,0.0,1.0
6791,0.0,1.0
6728,1.0,1.0
6697,0.0,1.0
6675,1.0,1.0
6650,0.0,1.0
6618,0.0,1.0
6585,0.0,1.0
6573,0.0,1.0
6552,0.0,1.0
6550,0.0,1.0
6541,0.0,1.0
6539,0.0,1.0
6533,0.0,1.0
6525,0.0,1.0
6468,0.0,0.0
6467,1.0,1.0
6347,0.0,1.0
6329,0.0,1.0
6287,0.0,1.0
6258,0.0,1.0
6245,0.5,1.0
6164,0.0,1.0
6158,0.0,1.0
6119,0.0,1.0
6070,0.0,0.0
6066,1.0,1.0
6052,0.0,1.0
5979,0.0,1.0
5976,0.0,1.0
5884,1.0,1.0
5863,0.0,0.0
5850,0.0,1.0
5849,0.0,1.0
5840,1.0,1.0
5838,0.0,1.0
5827,1.0,1.0
5797,1.0,1.0
5778,0.0,1.0
5774,1.0,1.0
5757,0.0,1.0
5756,1.0,1.0
5737,0.0,1.0
5718,0.0,0.0
5706,0.0,1.0
5705,0.0,1.0
5690,0.0,1.0
5598,1.0,1.0
5574,0.0,1.0
5522,0.0,1.0
5520,0.0,1.0
5501,0.0,1.0
5493,0.0,1.0
5450,0.0,1.0
5398,1.0,1.0
5390,1.0,1.0
